Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Match_ID,Batsman,Player_ID
0*,0,8,0,0,0,v India,Dhaka,10-Jan-10,ODI # 2941,Oshane Thomas,49619
0*,0,0,-,0,0,v England,The Oval,28-Jun-11,ODI # 3165,Oshane Thomas,49619
1*,1,3,33.33,0,0,v England,Nottingham,06-Jul-11,ODI # 3169,Oshane Thomas,49619
0*,0,2,0,0,0,v Australia,Pallekele,10-Aug-11,ODI # 3175,Oshane Thomas,49619
0,0,2,0,0,0,v Pakistan,Dubai (DSC),11-Nov-11,ODI # 3212,Oshane Thomas,49619
0*,0,0,-,0,0,v India,Dhaka,13-Mar-12,ODI # 3259,Oshane Thomas,49619
0,0,4,0,0,0,v Pakistan,Dhaka,15-Mar-12,ODI # 3260,Oshane Thomas,49619
0,0,1,0,0,0,v Bangladesh,Dhaka,20-Mar-12,ODI # 3265,Oshane Thomas,49619
1,1,5,20,0,0,v India,Port of Spain,11-Jul-13,ODI # 3388,Oshane Thomas,49619
1*,1,1,100,0,0,v Pakistan,Sharjah,18-Dec-13,ODI # 3445,Oshane Thomas,49619
2*,2,11,18.18,0,0,v Pakistan,Abu Dhabi,25-Dec-13,ODI # 3448,Oshane Thomas,49619
4*,4,5,80,0,0,v England,The Oval,22-May-14,ODI # 3492,Oshane Thomas,49619
0,0,3,0,0,0,v New Zealand,Dunedin,23-Jan-15,ODI # 3588,Oshane Thomas,49619
3,3,5,60,0,0,v New Zealand,Dunedin,25-Jan-15,ODI # 3590,Oshane Thomas,49619
7*,7,17,41.17,0,0,v New Zealand,Christchurch,14-Feb-15,ODI # 3599,Oshane Thomas,49619
1*,1,3,33.33,0,0,v Pakistan,Colombo (RPS),22-Jul-15,ODI # 3671,Oshane Thomas,49619
1*,1,4,25,0,0,v West Indies,Colombo (RPS),01-Nov-15,ODI # 3701,Oshane Thomas,49619
8,8,9,88.88,0,0,v New Zealand,Christchurch,26-Dec-15,ODI # 3714,Oshane Thomas,49619
7,7,8,87.5,0,0,v England,Nottingham,21-Jun-16,ODI # 3751,Oshane Thomas,49619
3*,3,4,75,0,0,v England,Bristol,26-Jun-16,ODI # 3755,Oshane Thomas,49619
10,10,23,43.47,1,0,v England,Cardiff,02-Jul-16,ODI # 3758,Oshane Thomas,49619
0,0,1,0,0,0,v Australia,Pallekele,04-Sep-16,ODI # 3776,Oshane Thomas,49619
0,0,1,0,0,0,v West Indies,Harare,16-Nov-16,ODI # 3805,Oshane Thomas,49619
3,3,12,25,0,0,v South Africa,Port Elizabeth,28-Jan-17,ODI # 3828,Oshane Thomas,49619
2*,2,5,40,0,0,v South Africa,Durban,01-Feb-17,ODI # 3830,Oshane Thomas,49619
0,0,6,0,0,0,v South Africa,Johannesburg,04-Feb-17,ODI # 3831,Oshane Thomas,49619
20*,20,28,71.42,1,1,v South Africa,Centurion,10-Feb-17,ODI # 3834,Oshane Thomas,49619
8,8,9,88.88,1,0,v Bangladesh,Dambulla,25-Mar-17,ODI # 3855,Oshane Thomas,49619
0,0,1,0,0,0,v Bangladesh,Dambulla,28-Mar-17,ODI # 3856,Oshane Thomas,49619
2*,2,1,200,0,0,v Bangladesh,Colombo (SSC),01-Apr-17,ODI # 3858,Oshane Thomas,49619
0,0,3,0,0,0,v South Africa,The Oval,03-Jun-17,ODI # 3877,Oshane Thomas,49619
26,26,34,76.47,3,0,v Pakistan,Cardiff,12-Jun-17,ODI # 3888,Oshane Thomas,49619
7*,7,9,77.77,1,0,v Pakistan,Dubai (DSC),13-Oct-17,ODI # 3922,Oshane Thomas,49619
1,1,2,50,0,0,v Pakistan,Abu Dhabi,16-Oct-17,ODI # 3924,Oshane Thomas,49619
23*,23,30,76.66,3,0,v Pakistan,Sharjah,20-Oct-17,ODI # 3927,Oshane Thomas,49619
11*,11,22,50,0,0,v India,Mohali,13-Dec-17,ODI # 3941,Oshane Thomas,49619
